id_equipamento,ibge,cidade,nome,endereco,numero,bairro,latitude,longitude
15071594810,150715,São Domingos do Araguaia,CREAS,DUQUE DE CAXIAS - 0,0,CENTRO,-5.55442344812006,-48.7300257680181
15074098946,150740,São Francisco do Pará,CREAS MARIA SAKATA,CELSO MACHADO - 119,119,CRISTO REDENTOR,-1.1721508568407886,-47.794818878173835
15074699278,150746,São João da Ponta,CREAS,Independência - 17,17,Centro,-0.8519240210163397,-47.9225778579712
15074798138,150747,São João de Pirabas,CREAS - CENTRO DE REFERÊNCIA ESPECIALIZADO DE ASSISTÊNCIA SOCIAL,TRAVESSA DAS MERCES - 204,204,Cidade Velha,-0.7766581144804718,-47.176108360290534
15075098880,150750,São João do Araguaia,CREAS,AVENIDA LUIS LOPES RIBEIRO - 0,0,CENTRO,-5.3619601060186755,-48.79120588302612
15077095858,150770,São Sebastião da Boa Vista,CREAS - MARIA IRAILDE DE OLIVEIRA CHAVES,GABRIEL MARQUES - 0,0,CENTRO,-1.716311434534633,-49.53120321035386
15079096256,150790,Soure,CREAS MUNICIPAL DE SOURE,ENTRE SEGUNDA E TERCEIRA RUAS - 237,237,Centro,-0.7282752380381614,-48.52010965347291
15079799294,150797,Terra Santa,CREAS - GLAUCIENE GATO SILVEIRA,JOÃO ELEUTÉRIO - 138,138,SANTA CLARA,-2.093759729894274,-56.49088382720948
15080093956,150800,Tomé-açu,CREAS CENTRO DE REFERENCIA ESPECIALIZADO DA ASSISTENCIA SOCIAL,PARMALAT - 0,0,CONSTRAN,-2.414035319787462,-48.15815949492391
15080893952,150808,Tucumã,CREAS -MARIA EDITE WOBETTO CARRAVETTA,DO CAFÉ  - 01,01,MORUMBI,-6.753814257889607,-51.157611608505256
15081595972,150815,Uruará,CREAS CESTO DE FLORES,GOIAS - 0,0,CENTRO,-3.7197752863126787,-53.7368130683899
15082094054,150820,Vigia,CREAS,SANTANA DE MEDEIROS  - 321,321,ARAPIRANGA,-0.8485984480530852,-48.13801288604737
15083094438,150830,Viseu,CREAS VISEU,CÔNEGO MIGUEL - 00,00,CENTRO,-1.2078165424596348,-46.13893032073975
15083598888,150835,Vitória do Xingu,CREAS CENTRO DE REFERÊNCIA ESPECIALIZADA DE ASSISTÊNCIA SOCIAL,JOSINO VELASCO - 20,20,JARDIM DALLACQUA,-2.8930450725912276,-52.01567173004151
15084096606,150840,Xinguara,CREAS XINGUARA,XINGU - 0,0,CENTRO,-7.105066095723688,-49.947624206542976
11500101366,150010,Abaetetuba,CREAS CENTRO DE REFERÊNCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL,SANTOS DUMONT - 653,653,SAO LOURENÇO,-1.7217609364206725,-48.88443215320876
11500102869,150010,Abaetetuba,CREAS CENTRO DE REFERÊNCIA ESPECIALIZADO DE ATENDIMENTO À MULHER,ESTRADA PA 409 -  ESTRADA DE ACESSO À BEJA KM 01 SN - 0,0,JARUMÃ,-1.7332708651037723,-48.86147546741996
11500201693,150020,Acará,CREAS ACARA,Marechal Deodoro da Fonseca - 80,80,SAO JUDAS TADEU,-1.9605910103673754,-48.196849822998054
11500303274,150030,Afuá,CREAS BEIJA FLOR,BENJAMIN CONSTANT - 227,227,CENTRO,-0.16061851206526173,-50.39100140333176
11500503291,150050,Almeirim,CREAS ISABELE,SETE DE SETEMBRO - 1198,1198,CENTRO,-1.5288278923536722,-52.57671475410462
11500600316,150060,Altamira,CREAS CENTRO DE REFERÊNCIA ESPECIALIZADO DE ASSISTÊNCIA SOCIAL,CURITIBA - 3075,3075,JARDIM UIRAPURU,-3.209696562423945,-52.22520589828492
11500800557,150080,Ananindeua,CREAS ANANIN,SN 17- Rua do Fio - 00,00,COQUEIRO,-1.370145605905124,-48.40648055076599
11500953424,150095,Aurora do Pará,CREAS - LOIDE GARCIA DE LIMA,Rua São Pedro - 420,420,Aparecida,-2.1356723305356393,-47.55576539046161
11501301883,150130,Barcarena,CREAS HENRICA DE NAZARÉ,LAURIVAL CAMPOS CUNHA - 86,86,COMERCIAL,-1.5089436193480277,-48.623299598693855
11501402437,150140,Belém,CREAS ROSANA CAMPOS,SENADOR MANOEL BARATA - 318,318,CAMPINA,-1.4539481148786444,-48.500559926060305
11501402459,150140,Belém,CREAS ILKA BRANDÃO BARBOSA,Alcindo Cacela - 839,839,Umarizal,-1.443658875160063,-48.478342294693
11501402959,150140,Belém,CREAS MARCO - MANOEL PIGNATÁRIO, Tavares Bastos - 447,447,SOUZA,-1.4094780871122106,-48.4450225532055
11501700553,150170,Bragança,CREAS - BRAGANÇA,TREZE DE MAIO - 725,725,CENTRO,-1.0584521220562504,-46.76515102386475
11501783177,150178,Breu Branco,CREAS BREU BRANCO,SAO LUIS - 210,210,BELA VISTA,-3.73348405383855,-49.3712200987188
11501800239,150180,Breves,CREAS MUNICIPAL,LOURENÇO BORGES - 2223,2223,CENTRO,-1.6855466480470296,-50.48094391822815
11501900191,150190,Bujaru,CREAS RAIMUNDO ARAÚJO FERREIRA,TV. GENERAL GURJÃO  - 0,0,CENTRO,-1.5152821534103305,-48.04450464250294
11501951754,150195,Cachoeira do Piriá,CREAS CENTRO DE REFERENCIA ESPECIALIZADA DE ASSISTENCIA SOCIAL,FERNANDO HENRIQUE  - 0,0,PIÇARREIRA,-1.75831964772954,-46.54253840446473
11502100288,150210,Cametá,CREAS - CENTRO DE REFERÊNCIA ESPECIALIZADA DE ASSISTÊNCIA SOCIAL,15 DE NOVEMBRO - 2711,2711,centro,-2.2429600291830902,-49.496922491525766
11502153494,150215,Canaã Dos Carajás,CREAS CANAÃ DOS CARAJÁS, MARACATIARA - 19,19,Nova Canaa,-6.539187993447443,-49.85046386718239
11502202765,150220,Capanema,CREAS CENTRO DE REFERENCIA ESPECIALIZADO DE ASSISTENCIA SOCIAL,D. PEDRO II - 525,525,CENTRO,-1.1953201969028175,-47.17673063278199
