municipality_code,municipality_name,reference_year,reference_date,source,accessibility_coverage_status,criterion__reachable_service_fraction,criterion__services_within_120_fraction,criterion__nearest_reachable_service_time_min,criterion__median_reachable_service_time_min,diagnostic__health_specialized_unit_count,diagnostic__creas_unit_count,diagnostic__specialized_security_unit_count,diagnostic__specialized_justice_unit_count,diagnostic__health_specialized_present,criterion__health_specialized_absence,diagnostic__creas_present,criterion__creas_absence,diagnostic__specialized_security_present,criterion__specialized_security_absence,diagnostic__specialized_justice_present,criterion__specialized_justice_absence,diagnostic__institutional_pillars_present,diagnostic__institutional_pillar_deficit_fraction,institutional_reference_window,institutional_source_role,diagnostic__census_sector_count,diagnostic__female_population_observed,diagnostic__female_rural_observed,diagnostic__female_urban_observed,diagnostic__female_population_unavailable_sector_count,diagnostic__female_age_covered,diagnostic__female_15_29,diagnostic__female_30_59,diagnostic__female_60_plus,diagnostic__age_complete_sector_count,criterion__rural_female_share,diagnostic__age_female_coverage_fraction,diagnostic__female_15_29_share_age_covered,diagnostic__female_30_59_share_age_covered,diagnostic__female_60_plus_share_age_covered
1501006,Aveiro,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.0572810236146391,0.023205381503434,50.44158738405468,136.17155105065586,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,89,8637.0,6481.0,2156.0,12,6983.0,1799.0,2318.0,776.0,31,0.7503762880629848,0.8084983211763344,0.2576256623227839,0.3319490190462552,0.11112702276958328
1501105,Bagre,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.064871341583186,0.000882603286846,104.3782924537092,504.1141994811573,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,47,15637.0,9209.0,6428.0,1,12652.0,3815.0,3258.0,628.0,25,0.5889237065933364,0.8091066061264949,0.3015333544103699,0.25750869427758455,0.049636421119190643
1501204,Baião,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333333,0.0172425609055135,25.43555999417652,320.95243391437526,1,1,0,0,1,0,1,0,0,1,0,1,2,0.5,2026-08-19/2026-08-20,non_transport_response_system_presence,99,25709.0,11929.0,13780.0,2,23119.0,6952.0,8805.0,2101.0,56,0.46400093352522465,0.8992570695087323,0.30070504779618495,0.3808555733379471,0.0908776331156192
1501253,Bannach,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333333,0.0311111111111111,69.33761319651074,627.5165575789508,0,0,0,0,0,1,0,1,0,1,0,1,0,1.0,2026-08-19/2026-08-20,non_transport_response_system_presence,15,1866.0,1065.0,801.0,1,1549.0,373.0,617.0,171.0,9,0.5707395498392283,0.830117899249732,0.2408005164622337,0.3983214977404777,0.1103938024531956
1501303,Barcarena,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6347046149569086,0.1589631019676891,10.041148544459164,184.0558571567688,1,1,1,0,1,0,1,0,1,0,0,1,3,0.25,2026-08-19/2026-08-20,non_transport_response_system_presence,267,63256.0,10710.0,52546.0,0,57405.0,15265.0,22982.0,5135.0,207,0.16931200202352345,0.9075028455798659,0.26591760299625467,0.40034840170716834,0.08945213831547774
1501402,Belém,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6516170766235695,0.25049921131304,3.828005914433506,150.43286981294483,5,5,2,2,1,0,1,0,1,0,1,0,4,0.0,2026-08-19/2026-08-20,non_transport_response_system_presence,2068,692443.0,3220.0,689223.0,9,680445.0,148235.0,299881.0,119686.0,1917,0.004650202254914845,0.9826729420327738,0.21785008340130355,0.4407130627750957,0.17589371661192307
1501451,Belterra,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.1111111111111111,0.0376753752571003,14.17072988489311,222.3133223690429,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,73,8901.0,4480.0,4421.0,5,7932.0,2031.0,2857.0,1017.0,35,0.5033142343556903,0.8911358274351197,0.2560514372163389,0.36018658598083714,0.12821482602118003
1501501,Benevides,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333333,0.2843793761008486,6.712741500553231,135.47745971601273,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,193,32305.0,1539.0,30766.0,3,29192.0,7319.0,12149.0,3237.0,130,0.04763968425940257,0.90363720786256,0.2507193751712798,0.41617566456563443,0.11088654425870101
1501576,Bom Jesus do Tocantins,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333332,0.0553316292210413,9.277112863583293,378.1218625001077,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,56,7996.0,3275.0,4721.0,4,6733.0,1667.0,2674.0,889.0,25,0.4095797898949475,0.8420460230115058,0.24758651418387048,0.39714837368186545,0.13203623941779297
1501600,Bonito,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333334,0.2972751521213637,2.066178256732513,123.24143737543132,7,1,0,0,1,0,1,0,0,1,0,1,2,0.5,2026-08-19/2026-08-20,non_transport_response_system_presence,31,6145.0,2659.0,3486.0,0,5771.0,1535.0,2257.0,621.0,24,0.4327095199349064,0.9391375101708707,0.26598509790330965,0.3910933980246058,0.10760700051984058
