municipality_code,municipality_name,race_population_total,diagnostic__race_ignored_count,diagnostic__race_ignored_share,socio__race_share_branca,socio__race_share_preta,socio__race_share_parda,socio__race_share_amarela,socio__race_share_indigena,diagnostic__race_share_sum,diagnostic__race_share_residual
1504976,Nova Ipixuna,13955.0,4,0.00028663561447509855,0.14740236474381943,0.1601576495879613,0.6908634897886062,0.0007165890361877463,0.0005732712289501971,0.9997133643855249,0.0002866356144750615
1505007,Nova Timboteua,12806.0,1,7.808839606434484e-05,0.16671872559737622,0.0663751366546931,0.7655786350148368,0.001015149148836483,0.00023426518819303453,0.9999219116039356,7.808839606437967e-05
1505031,Novo Progresso,33638.0,0,0.0,0.2909507105059754,0.08089065937332779,0.6241155835662049,0.0019323384267792378,0.002110708127712706,1.0,0.0
1505064,Novo Repartimento,60732.0,1,1.646578410063887e-05,0.1778633998551011,0.10814726997299612,0.6933412369097016,0.002206415069485609,0.0184252124086149,0.9999835342158994,1.6465784100638814e-05
1505106,Óbidos,52229.0,1,1.9146451205269104e-05,0.15010817744930977,0.12251814126251699,0.7104482184227153,0.00028719676807903655,0.01661911964617358,0.9999808535487947,1.9146451205265258e-05
1505205,Oeiras do Pará,33844.0,0,0.0,0.08388488358350077,0.11774612929913722,0.7976598510814324,0.0002659260134735847,0.00044321002245597445,1.0,0.0
1505304,Oriximiná,68294.0,0,0.0,0.1383869739655021,0.13219316484610655,0.67319237414707,0.0005564178405130758,0.05567106920080827,1.0,0.0
1505403,Ourém,17855.0,0,0.0,0.13480817698123776,0.112853542425091,0.7492579109493139,0.0008961075329039484,0.0021842621114533745,1.0,0.0
1505437,Ourilândia do Norte,32467.0,1,3.080050512828411e-05,0.22065481873902731,0.09655958357717066,0.637139249083685,0.00040040656666769336,0.04521514152832107,0.9999691994948717,3.080050512827004e-05
1505486,Pacajá,41097.0,0,0.0,0.17003674234129013,0.10338954181570431,0.7253814147018031,0.0003893228216171497,0.0008029783195853712,1.0,0.0
1505494,Palestina do Pará,6885.0,0,0.0,0.18184458968772693,0.1270878721859114,0.6896151053013798,0.0007262164124909223,0.0007262164124909223,1.0,0.0
1505502,Paragominas,105550.0,119,0.0011274277593557556,0.2028422548555187,0.10139270487920417,0.6804737091425864,0.0015821885362387494,0.012581714827096163,0.9988725722406441,0.0011274277593559257
1505536,Parauapebas,267836.0,10,3.7336280410400394e-05,0.21172284532325752,0.09981481204916441,0.6797779238041189,0.0013105034424050538,0.007336579100643678,0.9999626637195895,3.7336280410471545e-05
1505551,Pau D'Arco,6931.0,0,0.0,0.17962775934208627,0.08772182946183812,0.6654162458519695,0.0008656759486365604,0.06636848939546963,1.0,0.0
1505601,Peixe-Boi,8285.0,0,0.0,0.19263729631864815,0.055401327700663854,0.7503922751961376,0.0012070006035003018,0.0003621001810500905,1.0,0.0
1505635,Piçarra,12832.0,10,0.0007793017456359103,0.1673940149625935,0.13092269326683292,0.69856608478803,0.0019482543640897756,0.00038965087281795513,0.9992206982543641,0.0007793017456358964
1505650,Placas,18668.0,0,0.0,0.22819798585815299,0.12433040497107349,0.6440432826226699,0.002303406899507178,0.0011249196485965287,1.0,0.0
1505700,Ponta de Pedras,24984.0,0,0.0,0.16302433557476786,0.0872158181235991,0.7484390009606148,0.0004402817803394172,0.0008805635606788344,0.9999999999999999,1.1102230246251565e-16
1505809,Portel,62503.0,1,1.5999232036862232e-05,0.13568948690462856,0.06719677455482137,0.7964577700270387,0.00022398924851607123,0.000415980032958418,0.999984000767963,1.5999232036989497e-05
1505908,Porto de Moz,40597.0,0,0.0,0.11454048328694239,0.05515185851171269,0.827745892553637,0.00027095598196911103,0.0022908096657388477,1.0,0.0
1506005,Prainha,35577.0,0,0.0,0.1026786969109256,0.08362144081850634,0.8123225679512044,0.0007308092306827445,0.0006464850886808894,0.9999999999999999,1.1102230246251565e-16
1506104,Primavera,10851.0,1,9.21574048474795e-05,0.15030872730623906,0.04875126716431665,0.7998341166712746,0.000737259238779836,0.0002764722145424385,0.9999078425951526,9.215740484735946e-05
1506112,Quatipuru,11524.0,0,0.0,0.19333564734467198,0.05440819160013884,0.7508677542519958,0.0003471017007983339,0.0010413051023950017,1.0,0.0
1506138,Redenção,85597.0,4,4.673060971763029e-05,0.24643387034592334,0.12255102398448543,0.6262602661308223,0.0012149958526583877,0.003493113076392864,0.9999532693902824,4.6730609717604565e-05
