municipality_code,municipality_name,diagnostic__female_population_9514,female_15_29_count,female_30_59_count,female_60_plus_count,socio__female_age_share_15_29,socio__female_age_share_30_59,socio__female_age_share_60_plus,diagnostic__female_age_selected_share_sum
1503200,Igarapé-Açu - PA,18030.0,4495.0,7145.0,2429.0,0.2493067110371603,0.3962839711591791,0.13471991125901275,0.7803105934553521
1503309,Igarapé-Miri - PA,31557.0,8583.0,11629.0,3135.0,0.27198402890008555,0.36850777957347025,0.0993440441106569,0.7398358525842127
1503408,Inhangapi - PA,5096.0,1315.0,1859.0,634.0,0.25804552590266877,0.3647959183673469,0.12441130298273155,0.7472527472527472
1503457,Ipixuna do Pará - PA,14692.0,3981.0,5203.0,1190.0,0.2709637898175878,0.35413830656139395,0.08099646065886197,0.7060985570378437
1503507,Irituia - PA,15044.0,3706.0,5693.0,1950.0,0.24634405743153417,0.3784232916777453,0.12961978197287954,0.754387131082159
1503606,Itaituba - PA,61026.0,17170.0,22787.0,5415.0,0.2813554878248615,0.37339822370792775,0.0887326713204208,0.7434863828532101
1503705,Itupiranga - PA,23706.0,6261.0,8762.0,2225.0,0.26411035180966846,0.36961106892769763,0.09385809499704716,0.7275795157344132
1503754,Jacareacanga - PA,11482.0,3276.0,3209.0,539.0,0.28531614701271557,0.2794809266678279,0.04694304128200662,0.6117401149625501
1503804,Jacundá - PA,19203.0,4619.0,7577.0,2266.0,0.24053533302088215,0.39457376451596105,0.11800239545904286,0.7531114929958861
1503903,Juruti - PA,24727.0,6920.0,7936.0,2028.0,0.2798560278238363,0.32094471630201804,0.08201561046629191,0.6828163545921462
1504000,Limoeiro do Ajuru - PA,14278.0,4315.0,4753.0,1072.0,0.3022131951253677,0.33288976047065416,0.07508054349348649,0.7101834990895084
1504059,Mãe do Rio - PA,17466.0,4755.0,6700.0,1877.0,0.2722432153899004,0.3836024275735715,0.10746593381426772,0.7633115767777395
1504109,Magalhães Barata - PA,3964.0,861.0,1490.0,644.0,0.21720484359233097,0.375882946518668,0.16246215943491424,0.7555499495459133
1504208,Marabá - PA,133761.0,35756.0,53426.0,11751.0,0.2673125948520122,0.39941387997996425,0.08785071881938682,0.7545771936513632
1504307,Maracanã - PA,12679.0,3144.0,4698.0,1866.0,0.2479690827352315,0.370533953781844,0.1471724899440019,0.7656755264610774
1504406,Marapanim - PA,12926.0,2879.0,5173.0,2023.0,0.22272938263964104,0.40020114497911186,0.15650626643973387,0.7794367940584868
1504422,Marituba - PA,57093.0,14434.0,24820.0,5683.0,0.2528155815949416,0.43472930131539766,0.09953934808120085,0.78708423099154
1504455,Medicilândia - PA,12769.0,3266.0,4803.0,1166.0,0.25577570678988176,0.37614535202443417,0.0913149032813846,0.7232359620957005
1504505,Melgaço - PA,13313.0,4089.0,3306.0,651.0,0.3071433936753549,0.2483287012694359,0.048899571847066774,0.6043716667918576
1504604,Mocajuba - PA,13398.0,3939.0,4628.0,1373.0,0.29399910434393195,0.34542469025227646,0.10247798178832662,0.741901776384535
1504703,Moju - PA,40213.0,11453.0,14300.0,3058.0,0.28480839529505386,0.3556063959416109,0.07604506005520603,0.7164598512918708
1504752,Mojuí dos Campos - PA,11270.0,2834.0,4313.0,1299.0,0.2514640638864241,0.3826974267968057,0.1152617568766637,0.7494232475598935
1504802,Monte Alegre - PA,29661.0,7771.0,10851.0,3590.0,0.2619938639964937,0.3658339233336705,0.12103435487677422,0.7488621422069384
1504901,Muaná - PA,22371.0,6352.0,7842.0,1863.0,0.28393902820615974,0.35054311385275577,0.08327745742255599,0.7177595994814715
1504950,Nova Esperança do Piriá - PA,9962.0,2799.0,3474.0,672.0,0.2809676771732584,0.3487251555912467,0.06745633406946397,0.697149166833969
1504976,Nova Ipixuna - PA,6661.0,1598.0,2596.0,791.0,0.239903918330581,0.3897312715808437,0.11875093829755291,0.7483861282089777
1505007,Nova Timboteua - PA,6303.0,1352.0,2666.0,1053.0,0.21450103125495795,0.42297318737109313,0.16706330318895765,0.8045375218150088
1505031,Novo Progresso - PA,16151.0,4364.0,6307.0,1125.0,0.2701999876168658,0.39050213609064455,0.06965512971333045,0.7303572534208408
1505064,Novo Repartimento - PA,29423.0,7971.0,10732.0,2506.0,0.2709105121843456,0.36474866600958433,0.08517146450056079,0.7208306426944907
1505106,Óbidos - PA,25485.0,6535.0,8886.0,2870.0,0.25642534824406515,0.34867569158328426,0.11261526388071415,0.7177163037080636
1505205,Oeiras do Pará - PA,16201.0,4697.0,5158.0,1197.0,0.2899203752854762,0.31837540892537497,0.07388432812789333,0.6821801123387445
1505304,Oriximiná - PA,33838.0,9076.0,11651.0,3199.0,0.2682191618890005,0.3443170400141852,0.09453868431940422,0.70707488622259
1505403,Ourém - PA,8808.0,2188.0,3448.0,1107.0,0.24841053587647594,0.39146230699364215,0.12568119891008175,0.7655540417801999
1505437,Ourilândia do Norte - PA,15925.0,4155.0,6209.0,1237.0,0.2609105180533752,0.3898901098901099,0.07767660910518054,0.7284772370486656
1505486,Pacajá - PA,19465.0,5167.0,7043.0,1569.0,0.26545080914461855,0.3618289237092217,0.0806062162856409,0.7078859491394811
1505494,Palestina do Pará - PA,3347.0,779.0,1248.0,432.0,0.2327457424559307,0.3728712279653421,0.12907080968031073,0.7346877801015835
1505502,Paragominas - PA,53089.0,14451.0,21196.0,4317.0,0.27220328128237486,0.39925408276667484,0.08131628020870614,0.752773644257756
1505536,Parauapebas - PA,133914.0,37109.0,54864.0,7314.0,0.27711068297564106,0.4096957749003092,0.05461714234508715,0.7414236002210375
1505551,Pau D'Arco - PA,3376.0,769.0,1311.0,396.0,0.22778436018957346,0.38832938388625593,0.11729857819905214,0.7334123222748815
1505601,Peixe-Boi - PA,4083.0,899.0,1676.0,626.0,0.22018123928483957,0.4104824883663973,0.1533186382561842,0.783982365907421
1505635,Piçarra - PA,6098.0,1536.0,2385.0,571.0,0.2518858642177763,0.3911118399475238,0.09363725811741555,0.7366349622827156
1505650,Placas - PA,8813.0,2294.0,3286.0,783.0,0.26029728809712926,0.3728582775445365,0.08884602292068536,0.7220015885623511
1505700,Ponta de Pedras - PA,12142.0,3284.0,4448.0,1237.0,0.2704661505518037,0.3663317410640751,0.10187777960797233,0.738675671223851
1505809,Portel - PA,29876.0,9348.0,8317.0,1894.0,0.31289329227473556,0.27838398714687373,0.06339536751907886,0.654672646940688
1505908,Porto de Moz - PA,19479.0,5931.0,6268.0,1105.0,0.30448174957646695,0.32178243236305765,0.05672775809846502,0.6829919400379896
1506005,Prainha - PA,17110.0,4941.0,5554.0,1299.0,0.28877849210987727,0.3246054938632379,0.07592051431911163,0.6893045002922268
1506104,Primavera - PA,5369.0,1283.0,2073.0,785.0,0.23896442540510338,0.3861054200037251,0.1462097224809089,0.7712795678897374
1506112,Quatipuru - PA,5676.0,1300.0,2224.0,819.0,0.22903453136011276,0.3918252290345314,0.14429175475687103,0.7651515151515152
1506138,Redenção - PA,43371.0,11236.0,17490.0,4294.0,0.25906711858154063,0.4032648543957944,0.0990062484148394,0.7613382213921744
1506161,Rio Maria - PA,9063.0,2201.0,3685.0,1107.0,0.24285556658942956,0.4065982566479091,0.1221449851042701,0.7715988083416088
1506187,Rondon do Pará - PA,25787.0,6720.0,11136.0,2864.0,0.2605964245550083,0.43184550354829954,0.1110637142746345,0.8035056423779423
1506195,Rurópolis - PA,17398.0,4628.0,6039.0,1643.0,0.2660075870789746,0.3471088630877112,0.09443614208529716,0.707552592251983
1506203,Salinópolis - PA,22189.0,5636.0,8993.0,2558.0,0.2539997295957456,0.4052909099103159,0.11528234710892785,0.7745729866149894
1506302,Salvaterra - PA,12078.0,3052.0,4678.0,1381.0,0.2526908428547773,0.3873157807584037,0.11434012253684385,0.7543467461500248
1506351,Santa Bárbara do Pará - PA,10602.0,2538.0,4352.0,1246.0,0.23938879456706283,0.41048858705904545,0.1175249952839087,0.767402376910017
1506401,Santa Cruz do Arari - PA,3557.0,1074.0,1325.0,329.0,0.3019398369412426,0.37250491987630024,0.09249367444475681,0.7669384312622998
1506500,Santa Izabel do Pará - PA,33377.0,8527.0,13829.0,3679.0,0.2554753273212092,0.4143272313269617,0.1102256044581598,0.7800281631063306
1506559,Santa Luzia do Pará - PA,10130.0,2652.0,3839.0,1180.0,0.26179664363277394,0.37897334649555775,0.11648568608094768,0.7572556762092794
1506583,Santa Maria das Barreiras - PA,7778.0,1873.0,3098.0,755.0,0.2408074055026999,0.3983029056312677,0.09706865518128054,0.736178966315248
1506609,Santa Maria do Pará - PA,12477.0,3041.0,5262.0,1549.0,0.2437284603670754,0.42173599422938207,0.12414843311693516,0.7896128877133926
1506708,Santana do Araguaia - PA,15740.0,4058.0,6001.0,1463.0,0.25781448538754764,0.3812579415501906,0.09294790343074968,0.7320203303684879
1506807,Santarém - PA,168862.0,45218.0,63785.0,18849.0,0.26778079141547534,0.3777344814108562,0.11162369271949876,0.7571389655458304
1506906,Santarém Novo - PA,2911.0,748.0,1107.0,414.0,0.25695637238062524,0.38028169014084506,0.14221916867055995,0.7794572311920303
1507003,Santo Antônio do Tauá - PA,13701.0,3296.0,5468.0,1739.0,0.24056638201591124,0.399094956572513,0.12692504196773957,0.7665863805561638
1507102,São Caetano de Odivelas - PA,8193.0,1911.0,3241.0,1195.0,0.23324789454412304,0.39558159404369586,0.14585621872330037,0.7746857073111193
1507151,São Domingos do Araguaia - PA,10376.0,2634.0,3931.0,1245.0,0.2538550501156515,0.3788550501156515,0.11998843484965305,0.7526985350809561
1507201,São Domingos do Capim - PA,14584.0,3973.0,4936.0,1454.0,0.27242183214481624,0.33845309928688977,0.09969829950630828,0.7105732309380143
1507300,São Félix do Xingu - PA,30588.0,8091.0,12122.0,2138.0,0.26451549627304827,0.3962992023015562,0.06989669151301164,0.7307113900876161
