municipality_code,municipality_name,som_grid_rows,som_grid_cols,som_seed,som_bmu_row,som_bmu_col,som_bmu_index,som_profile
1507474,São João de Pirabas,5,5,5,4,3,23,2
1507508,São João do Araguaia,5,5,5,0,2,2,3
1507607,São Miguel do Guamá,5,5,5,1,0,5,3
1507706,São Sebastião da Boa Vista,5,5,5,2,4,14,4
1507755,Sapucaia,5,5,5,2,0,10,1
1507805,Senador José Porfírio,5,5,5,1,3,8,4
1507904,Soure,5,5,5,0,0,0,3
1507953,Tailândia,5,5,5,2,0,10,1
1507961,Terra Alta,5,5,5,4,4,24,2
1507979,Terra Santa,5,5,5,3,4,19,2
1508001,Tomé-Açu,5,5,5,2,3,13,4
1508035,Tracuateua,5,5,5,3,4,19,2
1508050,Trairão,5,5,5,2,2,12,3
1508084,Tucumã,5,5,5,3,0,15,1
1508100,Tucuruí,5,5,5,4,0,20,1
1508126,Ulianópolis,5,5,5,2,0,10,1
1508159,Uruará,5,5,5,2,1,11,3
1508209,Vigia,5,5,5,4,2,22,2
1508308,Viseu,5,5,5,1,4,9,4
1508357,Vitória do Xingu,5,5,5,2,2,12,3
1508407,Xinguara,5,5,5,3,0,15,1
