municipality_code,municipality_name,criterion__rural_female_share,diagnostic__age_female_coverage_fraction,diagnostic__female_15_29_share_age_covered,diagnostic__female_30_59_share_age_covered,diagnostic__female_60_plus_share_age_covered,socio__race_share_branca,socio__race_share_preta,socio__race_share_parda,socio__race_share_amarela,socio__race_share_indigena,diagnostic__race_ignored_share,socio__female_literacy_rate_15plus,socio__household_per_capita_income_mean_brl
1500859,Anapu,0.4802916830902641,0.8549467875443437,0.2791609036422314,0.3518518518518518,0.0687720915936683,0.1940973312401883,0.1097959183673469,0.6598116169544741,0.0067503924646781,0.0295447409733124,0.0,0.8726999999999999,765.01
1500909,Augusto Corrêa,0.471437106484673,0.9339583620570798,0.2690680051176065,0.3395827182363941,0.0989567955909851,0.1126691046149014,0.0320822022300495,0.8548897314517757,0.0001794808516366,0.0001794808516366,0.0,0.8587,479.94
1500958,Aurora do Pará,0.5545937607130613,0.9112101474117243,0.2650489089541008,0.3589164785553047,0.0985703536493604,0.1263985866913435,0.1100782367291999,0.7607049718179524,0.000757129637419,0.0020610751240851,0.0,0.8509,574.32
1501006,Aveiro,0.7503762880629848,0.8084983211763344,0.2576256623227839,0.3319490190462552,0.1111270227695832,0.0940404592673592,0.0548933843630399,0.6878622197922362,0.00098414434117,0.1622197922361946,0.0,0.9243,477.87
1501105,Bagre,0.5889237065933364,0.8091066061264949,0.3015333544103699,0.2575086942775845,0.0496364211191906,0.0998683055311677,0.0932522262636397,0.8066599774238054,0.0001881349554747,3.135582591245454e-05,0.0,0.8399,358.65
1501204,Baião,0.4640009335252246,0.8992570695087323,0.3007050477961849,0.3808555733379471,0.0908776331156192,0.1153153502062314,0.2287523479405898,0.6547123409693848,0.000232373501675,0.0009875873821188,0.0,0.9284,460.65
1501253,Bannach,0.5707395498392283,0.830117899249732,0.2408005164622337,0.3983214977404777,0.1103938024531956,0.1801041925080625,0.1027040436616224,0.6616224261969734,0.0019846192011907,0.0535847184321508,0.0,0.8959999999999999,995.23
1501303,Barcarena,0.1693120020235234,0.907502845579866,0.2659176029962546,0.4003484017071683,0.0894521383154777,0.1776075799447295,0.0828424792735886,0.7354441373864983,0.0018476115278326,0.002242400315831,1.5791551519936835e-05,0.9434,975.54
1501402,Belém,0.0046502022549148,0.9826729420327738,0.2178500834013035,0.4407130627750957,0.175893716611923,0.2627552644884199,0.1146191929894284,0.6184602920201964,0.0025302995313038,0.0015873831807967,4.756778985471109e-05,0.9719,1668.52
1501451,Belterra,0.5033142343556903,0.8911358274351197,0.2560514372163389,0.3601865859808371,0.12821482602118,0.1322725012431626,0.051770816067186,0.774186419139179,0.002873086910879,0.0388971766395933,0.0,0.9277,741.15
1501501,Benevides,0.0476396842594025,0.90363720786256,0.2507193751712798,0.4161756645656344,0.110886544258701,0.1894064530338068,0.0984473075652461,0.7092044614343921,0.0018720405241713,0.0010697374423836,0.0,0.9493,818.99
1501576,Bom Jesus do Tocantins,0.4095797898949475,0.8420460230115058,0.2475865141838704,0.3971483736818654,0.1320362394177929,0.2201055262427103,0.072979727853374,0.6460983060261039,0.0009997222993612,0.0598167175784504,0.0,0.8848,947.99
1501600,Bonito,0.4327095199349064,0.9391375101708708,0.2659850979033096,0.3910933980246058,0.1076070005198405,0.1643954999207732,0.0538741879258437,0.7808588179369355,0.0007130407225479,0.0001584534938995,0.0,0.8465,739.25
1501709,Bragança,0.2710199834149038,0.9649273995544788,0.2581558371528714,0.3841331895389593,0.1139795093016985,0.1334963682748086,0.0439788108740514,0.821281747127931,0.0004631058968817,0.000763718496612,1.624932971514925e-05,0.9081,810.48
1501725,Brasil Novo,0.4244884433766879,0.911109270151603,0.2575922895071831,0.3835242771412984,0.1008365157301327,0.2425762602152277,0.1153005906626749,0.6253337648677078,0.0008495832996197,0.0158993446071688,4.0456347600938586e-05,0.9049,763.34
1501758,Brejo Grande do Araguaia,0.4164670658682635,0.959880239520958,0.2364316905801622,0.3752339363693076,0.1260137242669994,0.1680672268907563,0.1152882205513784,0.7038183694530443,0.0007371369600471,0.0120890461447736,0.0,0.8745,766.2
1501782,Breu Branco,0.3551682958114025,0.9383873678623555,0.267486802413273,0.3627450980392157,0.0972379336349924,0.1703491424571228,0.1149369968498424,0.7115418270913546,0.0010719285964298,0.0021001050052502,0.0,0.8692,725.32
1501808,Breves,0.4567316063379055,0.975662133142448,0.2930142174456188,0.300350974598957,0.0784834724673316,0.1485677959763667,0.070731433699798,0.7786253832921995,0.0011031336474459,0.0009722533841896,0.0,0.8178,606.08
1501907,Bujaru,0.6316665279973376,0.9419252849654712,0.2712657892412331,0.3515590495539263,0.1050260577687483,0.1044170118525202,0.1254972726899889,0.7682401673296969,0.0007792314317352,0.0010663166960587,0.0,0.8973,526.09
1501956,Cachoeira do Piriá,0.6218342493803212,0.8685203146890829,0.2851470405757538,0.3437151011291723,0.0804069983868966,0.138155883851248,0.1258278145695364,0.7341823739174732,0.0002547121752419,0.0015792154865002,0.0,0.8406999999999999,564.23
1502004,Cachoeira do Arari,0.5171686492871003,0.9611912595967266,0.2722724479943825,0.3544281576406565,0.1039234617747739,0.0885701180100913,0.146282473624953,0.7638964179975815,0.0005837955047746,0.0006671948625995,0.0,0.936,488.54
1502103,Cametá,0.4742318596276147,0.9607386407171864,0.2838913435311757,0.3469605857113234,0.1041743097315489,0.1726062719847373,0.0787351696178381,0.7473096643415013,0.0004098849341203,0.0009315566684552,7.452453347642044e-06,0.9159,597.9
1502152,Canaã dos Carajás,0.0973674433416485,0.8983864975319781,0.2850855167931941,0.3918411957581307,0.0521962603018934,0.2165829862867966,0.0974973728252831,0.6817161613409619,0.002646635270307,0.0015568442766512,0.0,0.9518,1364.4
1502202,Capanema,0.1384333638558228,0.924109991953162,0.2437545039634878,0.4184782608695652,0.1353891424453519,0.234238713526721,0.0539250504304344,0.708270591243572,0.0021166576696877,0.0014489871295849,0.0,0.9189,966.47
1502301,Capitão Poço,0.4256603773584905,0.9065588499550764,0.2680277502477701,0.3916749256689792,0.1081863230921704,0.1460552861643011,0.0541358439811701,0.797809082221357,0.0007609811347467,0.0012211092627331,1.7697235691784943e-05,0.8606,704.58
1502400,Castanhal,0.0688081675224647,0.9411806001283696,0.2519100237620808,0.4235191322045457,0.120845631719714,0.2230411534620506,0.0854537699733688,0.6869954643808256,0.0037398052596537,0.0007490013315579,2.0805592543275637e-05,0.9481,1055.05
1502509,Chaves,0.767729207766587,0.9312636278683418,0.2800758167019734,0.3089530605418664,0.0788270710224105,0.1262224791636556,0.1296911885147179,0.7410030351206822,0.0019270607505901,0.001156236450354,0.0,0.8362999999999999,584.29
1502608,Colares,0.5873461118902914,0.9552750506467196,0.232463295269168,0.3825448613376835,0.1391517128874388,0.1682468138016785,0.0648119365868821,0.7658532794529065,0.0001554243083618,0.0009325458501709,0.0,0.9355,655.87
1502707,Conceição do Araguaia,0.2334252270981154,0.9534053418899986,0.2370591581342434,0.390737580583997,0.1471843003412969,0.2151870363314431,0.1342985857408611,0.644955958491158,0.0031826433870497,0.002286124123092,8.965192639576843e-05,0.9097,1032.8
