municipality_code,municipality_name,female_race_branca_count,female_race_preta_count,female_race_parda_count,female_race_amarela_count,female_race_indigena_count,diagnostic__female_declared_race_total,socio__female_race_share_branca,socio__female_race_share_preta,socio__female_race_share_parda,socio__female_race_share_amarela,socio__female_race_share_indigena,diagnostic__female_race_declared_share_sum,diagnostic__female_race_residual_share
1504455,Medicilândia - PA,9.65,4.08,33.22,0.14,0.04,47.13,0.20475281137279863,0.08656906429026098,0.70485890091237,0.0029705071079991516,0.000848716316571186,1.0,0.0
1504505,Melgaço - PA,7.12,4.8,35.79,0.02,0.03,47.760000000000005,0.1490787269681742,0.10050251256281406,0.7493718592964823,0.00041876046901172525,0.0006281407035175878,0.9999999999999999,1.1102230246251565e-16
1504604,Mocajuba - PA,9.65,5.2,34.33,0.02,0.07,49.27,0.1958595494215547,0.10554089709762533,0.6967728841079763,0.00040592652729855896,0.0014207428455449563,0.9999999999999998,2.220446049250313e-16
1504703,Moju - PA,6.51,5.78,35.34,0.06,0.13,47.82000000000001,0.13613550815558342,0.1208699289000418,0.739021329987453,0.0012547051442910913,0.002718527812630698,1.0,0.0
1504752,Mojuí dos Campos - PA,7.31,2.38,38.13,0.06,0.08,47.96,0.15241868223519597,0.04962468723936614,0.7950375312760635,0.0012510425354462051,0.0016680567139282735,1.0,0.0
1504802,Monte Alegre - PA,8.54,2.57,38.18,0.09,0.05,49.43,0.17276957313372443,0.051992716973497874,0.7724054218086183,0.001820756625531054,0.0010115314586283633,1.0,0.0
1504901,Muaná - PA,7.06,2.02,40.22,0.01,0.0,49.309999999999995,0.14317582640438045,0.04096532143581424,0.815656053538836,0.00020279862096937745,0.0,1.0,0.0
1504950,Nova Esperança do Piriá - PA,7.68,2.77,38.06,0.05,0.08,48.64,0.15789473684210525,0.05694901315789474,0.782483552631579,0.0010279605263157894,0.001644736842105263,1.0,0.0
1504976,Nova Ipixuna - PA,7.5,6.71,33.47,0.03,0.02,47.730000000000004,0.1571338780641106,0.1405824429080243,0.7012361198407709,0.0006285355122564424,0.0004190236748376283,0.9999999999999998,2.220446049250313e-16
1505007,Nova Timboteua - PA,8.14,2.87,38.17,0.03,0.0,49.21000000000001,0.16541353383458646,0.058321479374110946,0.775655354602723,0.0006096321885795568,0.0,0.9999999999999999,1.1102230246251565e-16
1505031,Novo Progresso - PA,14.23,3.49,30.08,0.11,0.11,48.019999999999996,0.2963348604748022,0.07267805081216161,0.626405664306539,0.0022907122032486465,0.0022907122032486465,1.0,0.0
1505064,Novo Repartimento - PA,8.68,4.8,33.92,0.14,0.89,48.43000000000001,0.17922775139376415,0.09911212058641336,0.7003923188106544,0.00289077018377039,0.018377039025397477,0.9999999999999998,2.220446049250313e-16
1505106,Óbidos - PA,7.52,5.49,34.94,0.02,0.83,48.8,0.1540983606557377,0.11250000000000002,0.715983606557377,0.00040983606557377055,0.017008196721311476,1.0,0.0
1505205,Oeiras do Pará - PA,4.28,5.38,38.17,0.01,0.01,47.849999999999994,0.08944618599791015,0.11243469174503658,0.7977011494252875,0.00020898641588296764,0.00020898641588296764,1.0000000000000002,-2.220446049250313e-16
1505304,Oriximiná - PA,6.96,6.1,33.75,0.03,2.71,49.550000000000004,0.14046417759838545,0.12310797174571138,0.681130171543895,0.0006054490413723511,0.054692230070635714,1.0,0.0
1505403,Ourém - PA,6.74,5.33,37.12,0.06,0.08,49.33,0.13663085343604298,0.1080478410703426,0.75248327589702,0.001216298398540442,0.0016217311980539226,1.0,0.0
1505437,Ourilândia do Norte - PA,11.28,4.34,31.17,0.02,2.24,49.050000000000004,0.22996941896024461,0.08848114169215085,0.635474006116208,0.0004077471967380224,0.04566768603465851,0.9999999999999999,1.1102230246251565e-16
1505486,Pacajá - PA,8.21,4.37,34.73,0.02,0.04,47.370000000000005,0.17331644500738863,0.09225248047287311,0.7331644500738863,0.00042220814861726827,0.0008444162972345365,0.9999999999999999,1.1102230246251565e-16
1505494,Palestina do Pará - PA,8.63,5.66,34.23,0.04,0.04,48.599999999999994,0.1775720164609054,0.11646090534979425,0.704320987654321,0.000823045267489712,0.000823045267489712,1.0,0.0
1505502,Paragominas - PA,10.33,4.64,34.61,0.09,0.62,50.29,0.2054086299463114,0.09226486379001789,0.6882083913302843,0.001789620202823623,0.012328494730562736,0.9999999999999999,1.1102230246251565e-16
1505536,Parauapebas - PA,10.83,4.47,34.27,0.07,0.36,50.00000000000001,0.21659999999999996,0.08939999999999998,0.6854,0.0014,0.007199999999999999,0.9999999999999999,1.1102230246251565e-16
1505551,Pau D'Arco - PA,8.73,4.17,32.36,0.07,3.38,48.71,0.17922397864914802,0.08560870457811537,0.6643399712584684,0.001437076575651817,0.0693902689386163,1.0,0.0
1505601,Peixe-Boi - PA,9.93,2.32,36.97,0.05,0.01,49.279999999999994,0.2015016233766234,0.04707792207792208,0.7502029220779222,0.0010146103896103897,0.00020292207792207796,1.0000000000000002,-2.220446049250313e-16
1505635,Piçarra - PA,8.43,5.55,33.36,0.12,0.02,47.480000000000004,0.17754844144903115,0.11689132266217353,0.7026116259477674,0.0025273799494524006,0.00042122999157540015,0.9999999999999998,2.220446049250313e-16
1505650,Placas - PA,10.7,5.22,31.09,0.14,0.06,47.21,0.226646896843889,0.11056979453505612,0.658546918025842,0.0029654734166490154,0.0012709171785638634,0.9999999999999999,1.1102230246251565e-16
1505700,Ponta de Pedras - PA,8.23,3.73,36.58,0.02,0.03,48.59,0.1693764149001852,0.07676476641284215,0.7528298003704466,0.00041160732661041366,0.0006174109899156204,1.0,0.0
1505809,Portel - PA,6.81,2.88,38.08,0.01,0.02,47.8,0.14246861924686194,0.0602510460251046,0.796652719665272,0.0002092050209205021,0.0004184100418410042,0.9999999999999999,1.1102230246251565e-16
1505908,Porto de Moz - PA,5.95,2.18,39.72,0.02,0.11,47.980000000000004,0.12401000416840349,0.04543559816590246,0.8278449353897457,0.0004168403501458941,0.0022926219258024177,0.9999999999999999,1.1102230246251565e-16
1506005,Prainha - PA,5.07,3.58,39.38,0.04,0.03,48.1,0.10540540540540541,0.07442827442827443,0.8187110187110187,0.0008316008316008316,0.0006237006237006236,1.0,0.0
1506104,Primavera - PA,7.84,2.06,39.53,0.04,0.01,49.48,0.15844785772029105,0.04163298302344382,0.7989086499595797,0.0008084074373484237,0.00020210185933710592,1.0,0.0
1506112,Quatipuru - PA,9.97,2.26,36.96,0.01,0.06,49.26,0.20239545269995943,0.04587900933820544,0.7503045066991474,0.0002030044660982542,0.001218026796589525,1.0,0.0
1506138,Redenção - PA,12.69,5.6,32.11,0.07,0.19,50.66,0.25049348598499804,0.11054086063955784,0.6338333991314647,0.0013817607579944733,0.0037504934859849985,1.0000000000000002,-2.220446049250313e-16
1506161,Rio Maria - PA,12.05,4.96,31.99,0.21,0.08,49.29,0.24447149523229866,0.10062893081761007,0.6490160275918035,0.00426049908703591,0.0016230472712517752,1.0,0.0
1506187,Rondon do Pará - PA,10.58,3.41,34.43,0.02,0.09,48.53000000000001,0.21800947867298576,0.07026581495981866,0.7094580671749432,0.00041211621677312996,0.0018545229754790848,0.9999999999999999,1.1102230246251565e-16
1506195,Rurópolis - PA,9.89,4.43,34.16,0.06,0.1,48.64,0.20333059210526316,0.09107730263157894,0.7023026315789473,0.0012335526315789473,0.002055921052631579,0.9999999999999999,1.1102230246251565e-16
1506203,Salinópolis - PA,8.4,2.02,39.03,0.04,0.08,49.57,0.16945733306435345,0.04075045390357071,0.7873713939882994,0.0008069396812588259,0.0016138793625176519,1.0,0.0
