service_type,municipality_code,municipality_name,e2sfca_score,routing_ready_origins,routing_ready_female_population,configuration
creas,1507607,São Miguel do Guamá,6.75998075969579e-05,100,25115.0,reference_step_120
creas,1507706,São Sebastião da Boa Vista,0.00017995321216483713,16,5557.0,reference_step_120
creas,1507755,Sapucaia,4.9393503959154735e-05,11,2879.0,reference_step_120
creas,1507805,Senador José Porfírio,2.4169987937695147e-06,31,6913.0,reference_step_120
creas,1507904,Soure,8.28363154406892e-05,32,12072.0,reference_step_120
creas,1507953,Tailândia,3.76063307767468e-05,123,33966.0,reference_step_120
creas,1507961,Terra Alta,3.324928272947222e-05,23,4958.0,reference_step_120
creas,1507979,Terra Santa,0.00015804690509171207,25,8173.0,reference_step_120
creas,1508001,Tomé-Açu,1.8007983628796312e-05,117,30224.0,reference_step_120
creas,1508035,Tracuateua,4.373313336922769e-05,41,9773.0,reference_step_120
creas,1508050,Trairão,0.0,31,6744.0,reference_step_120
creas,1508084,Tucumã,5.8834235016438594e-05,69,18469.0,reference_step_120
creas,1508100,Tucuruí,2.601171112407765e-05,158,44448.0,reference_step_120
creas,1508126,Ulianópolis,3.548572753512035e-05,50,17003.0,reference_step_120
creas,1508159,Uruará,9.502661736274995e-05,64,15110.0,reference_step_120
creas,1508209,Vigia,2.0758642791055836e-05,100,24110.0,reference_step_120
creas,1508308,Viseu,2.808287456473976e-05,113,24311.0,reference_step_120
creas,1508357,Vitória do Xingu,5.012111550730858e-05,36,6678.0,reference_step_120
creas,1508407,Xinguara,6.424110744377238e-05,92,25086.0,reference_step_120
health,1500107,Abaetetuba,6.235858237871537e-06,189,61390.0,reference_step_120
health,1500131,Abel Figueiredo,4.22904508162057e-06,11,2904.0,reference_step_120
health,1500206,Acará,7.876257934320748e-06,128,21279.0,reference_step_120
health,1500347,Água Azul do Norte,1.8884381221529117e-05,38,7078.0,reference_step_120
health,1500404,Alenquer,0.0,64,24692.0,reference_step_120
health,1500503,Almeirim,0.0,44,12803.0,reference_step_120
health,1500602,Altamira,3.531640751429989e-05,254,57798.0,reference_step_120
health,1500701,Anajás,0.0,11,6120.0,reference_step_120
health,1500800,Ananindeua,1.1847583207981576e-05,637,216395.0,reference_step_120
health,1500859,Anapu,2.2647943524624897e-05,42,11682.0,reference_step_120
health,1500909,Augusto Corrêa,1.9514808440162928e-05,85,19652.0,reference_step_120
health,1500958,Aurora do Pará,2.1641969843319344e-05,40,9167.0,reference_step_120
health,1501006,Aveiro,0.00011081556155517748,24,4724.0,reference_step_120
health,1501105,Bagre,0.0,18,6788.0,reference_step_120
health,1501204,Baião,9.641912812128772e-06,61,20104.0,reference_step_120
health,1501253,Bannach,1.3056816901544161e-05,11,1582.0,reference_step_120
health,1501303,Barcarena,5.747098064949127e-06,238,57552.0,reference_step_120
health,1501402,Belém,9.99333640997355e-06,1874,637628.0,reference_step_120
health,1501451,Belterra,4.41333900025682e-05,43,7617.0,reference_step_120
health,1501501,Benevides,1.1934800238080836e-05,181,30532.0,reference_step_120
health,1501576,Bom Jesus do Tocantins,4.229045081620569e-06,35,7433.0,reference_step_120
health,1501600,Bonito,2.7054324020371222e-05,26,5332.0,reference_step_120
health,1501709,Bragança,1.6680822571802146e-05,195,55750.0,reference_step_120
health,1501725,Brasil Novo,4.074592186561891e-05,37,8590.0,reference_step_120
health,1501758,Brejo Grande do Araguaia,3.2171963758502796e-06,17,2980.0,reference_step_120
health,1501782,Breu Branco,9.506900292136831e-07,79,20704.0,reference_step_120
health,1501808,Breves,3.461764807698965e-05,64,28887.0,reference_step_120
health,1501907,Bujaru,2.118815368678894e-05,39,7707.0,reference_step_120
health,1501956,Cachoeira do Piriá,1.7606001528840955e-05,46,8304.0,reference_step_120
health,1502004,Cachoeira do Arari,0.0,26,7539.0,reference_step_120
health,1502103,Cametá,2.994355103979736e-06,139,42529.0,reference_step_120
health,1502152,Canaã dos Carajás,8.913901524909645e-06,108,36539.0,reference_step_120
health,1502202,Capanema,2.4062548430426802e-05,118,35064.0,reference_step_120
health,1502301,Capitão Poço,2.4476043409543945e-05,132,25741.0,reference_step_120
health,1502400,Castanhal,2.789361638209211e-05,340,97495.0,reference_step_120
health,1502509,Chaves,0.0,4,2317.0,reference_step_120
health,1502608,Colares,3.5152244985110175e-06,33,6118.0,reference_step_120
health,1502707,Conceição do Araguaia,8.54526346003566e-06,79,20299.0,reference_step_120
health,1502756,Concórdia do Pará,2.2528876001552416e-05,66,12238.0,reference_step_120
health,1502764,Cumaru do Norte,8.096863019119469e-06,20,4478.0,reference_step_120
health,1502772,Curionópolis,7.783919294110262e-06,49,9754.0,reference_step_120
health,1502806,Curralinho,0.0,12,6588.0,reference_step_120
health,1502855,Curuá,0.0,27,4836.0,reference_step_120
health,1502905,Curuçá,8.026798335722742e-06,87,19885.0,reference_step_120
health,1502939,Dom Eliseu,0.0,69,29239.0,reference_step_120
health,1502954,Eldorado do Carajás,1.2566605088297994e-05,55,12850.0,reference_step_120
health,1503002,Faro,0.0,21,3965.0,reference_step_120
health,1503044,Floresta do Araguaia,1.2438765553722656e-05,31,7174.0,reference_step_120
health,1503077,Garrafão do Norte,2.3620607241237824e-05,52,10813.0,reference_step_120
health,1503093,Goianésia do Pará,4.060608386996283e-06,50,11198.0,reference_step_120
health,1503101,Gurupá,0.0,14,6475.0,reference_step_120
health,1503200,Igarapé-Açu,2.793022430378103e-05,61,16638.0,reference_step_120
health,1503309,Igarapé-Miri,1.653287315474641e-05,52,16689.0,reference_step_120
health,1503408,Inhangapi,1.987177841319738e-05,27,4748.0,reference_step_120
health,1503457,Ipixuna do Pará,1.7976911010265237e-05,63,11531.0,reference_step_120
