scenario,service_type,service_id,weighted_demand,capacity,supply_demand_ratio,supply_mode
reference_network,creas,SITE-dae09504af11b1,1334.0,1.0,0.0007496251874062968,unit_presence
reference_network,creas,SITE-dcce6bc749780e,114114.0,1.0,8.7631666579035e-06,unit_presence
reference_network,creas,SITE-de5496eac0b0b5,117006.0,1.0,8.546570261354118e-06,unit_presence
reference_network,creas,SITE-de69a06a8a5ef5,1223895.0,1.0,8.170635552886481e-07,unit_presence
reference_network,creas,SITE-e2b76b15515a1c,145016.0,1.0,6.895790809290009e-06,unit_presence
reference_network,creas,SITE-e4507508d8d838,10655.0,1.0,9.385265133740028e-05,unit_presence
reference_network,creas,SITE-e8e14df8d38b87,165458.0,1.0,6.043829854101947e-06,unit_presence
reference_network,creas,SITE-e9cb975bb01933,477432.0,1.0,2.0945391176125606e-06,unit_presence
reference_network,creas,SITE-ea1e8ced1fee83,219616.0,1.0,4.553402302200204e-06,unit_presence
reference_network,creas,SITE-eb5783337ed8ee,1402711.0,1.0,7.129052242407738e-07,unit_presence
reference_network,creas,SITE-ec2d8e1289d12b,74012.0,1.0,1.351132248824515e-05,unit_presence
reference_network,creas,SITE-f2174875dab17d,1231276.0,1.0,8.121655908179807e-07,unit_presence
reference_network,creas,SITE-fc126190258579,37423.0,1.0,2.6721534884963792e-05,unit_presence
reference_network,creas,SITE-fc2b38cbbb60b6,1300394.0,1.0,7.689977037728566e-07,unit_presence
reference_network,creas,SITE-ff0099ea4f14fa,1420105.0,1.0,7.041732829614712e-07,unit_presence
reference_network,creas,SITE-ffb2f06fcc51b0,10162.0,1.0,9.8405825624877e-05,unit_presence
reference_network,creas,SITE-ffb915f82524e6,67516.0,1.0,1.4811303987203034e-05,unit_presence
reference_network,health,SITE-006e821a065971,1467764.0,1.0,6.81308439231375e-07,unit_presence
reference_network,health,SITE-0a2b2e0c082b9d,46351.0,1.0,2.15745075618649e-05,unit_presence
reference_network,health,SITE-0ad15b4ef7d9c9,290589.0,1.0,3.441286490541624e-06,unit_presence
reference_network,health,SITE-0bc277425d526d,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-11255cd7680d88,28524.0,1.0,3.5058196606366565e-05,unit_presence
reference_network,health,SITE-1462ebd3576b1c,87646.0,1.0,1.1409533806448668e-05,unit_presence
reference_network,health,SITE-198118f05c2209,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-1d1d8df114a006,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-1d2833b582b2f7,540510.0,1.0,1.8501045309059962e-06,unit_presence
reference_network,health,SITE-1faedaf402f505,21274.0,1.0,4.7005734699633354e-05,unit_presence
reference_network,health,SITE-2510152617fff3,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-25d38c9841ea05,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-260d10dc753430,1433366.0,1.0,6.976585184802765e-07,unit_presence
reference_network,health,SITE-266b07c1dcc19a,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-3319862883238d,438802.0,1.0,2.2789321835360824e-06,unit_presence
reference_network,health,SITE-340bdeaf2da1c1,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-345d1735a1431b,70656.0,1.0,1.4153079710144928e-05,unit_presence
reference_network,health,SITE-383b76354e7ecd,236460.0,1.0,4.22904508162057e-06,unit_presence
reference_network,health,SITE-3a7d0f74034b1e,21274.0,1.0,4.7005734699633354e-05,unit_presence
reference_network,health,SITE-437948a5f3310d,73589.0,1.0,1.3588987484542527e-05,unit_presence
reference_network,health,SITE-4e481c4630e914,1458056.0,1.0,6.85844713783284e-07,unit_presence
reference_network,health,SITE-4f6fb92dcd651a,1426767.0,1.0,7.00885288207535e-07,unit_presence
reference_network,health,SITE-4f8617e8295172,439241.0,1.0,2.276654501742779e-06,unit_presence
reference_network,health,SITE-501aa2406602c6,1328722.0,1.0,7.526028770502784e-07,unit_presence
reference_network,health,SITE-55dc5010f87780,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-56f327f7e1e86d,43916.0,1.0,2.2770744147918755e-05,unit_presence
reference_network,health,SITE-5b7ca3b90df7a7,41495.0,1.0,2.4099289070972408e-05,unit_presence
reference_network,health,SITE-5dc130a7f05990,1458331.0,1.0,6.857153828588982e-07,unit_presence
reference_network,health,SITE-63f2baead1ab6f,28524.0,1.0,3.5058196606366565e-05,unit_presence
reference_network,health,SITE-6833cf1aa68415,42119.0,1.0,2.3742254089603267e-05,unit_presence
reference_network,health,SITE-6a397a27e76eb1,78841.0,1.0,1.2683755913801194e-05,unit_presence
reference_network,health,SITE-6d1161af25b828,1400024.0,1.0,7.14273469597664e-07,unit_presence
reference_network,health,SITE-6d3b8fa9b77dc3,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-6fd9280eafa71e,1423263.0,1.0,7.02610831589102e-07,unit_presence
reference_network,health,SITE-7114834a1e639c,160196.0,1.0,6.242353117431147e-06,unit_presence
reference_network,health,SITE-7653dfbe5f3d83,42119.0,1.0,2.3742254089603267e-05,unit_presence
reference_network,health,SITE-78ecd49dcfd1e0,1420996.0,1.0,7.03731748717097e-07,unit_presence
reference_network,health,SITE-7ddca9f367e54d,28887.0,1.0,3.461764807698965e-05,unit_presence
reference_network,health,SITE-7e98e99d50790b,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-899bb09f939fde,74012.0,1.0,1.351132248824515e-05,unit_presence
reference_network,health,SITE-89e1d82b659f13,412924.0,1.0,2.4217531555443617e-06,unit_presence
reference_network,health,SITE-8a4a323eae0b00,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-9dae26521ecaf6,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-a0f917d271e40c,9740.0,1.0,0.0001026694045174538,unit_presence
reference_network,health,SITE-a6129e7c80f272,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-aea16e8a747148,1243070.0,1.0,8.044599258287948e-07,unit_presence
reference_network,health,SITE-afc75d9c6954cd,375852.0,1.0,2.6606217340868216e-06,unit_presence
reference_network,health,SITE-b82374804b95c8,28524.0,1.0,3.5058196606366565e-05,unit_presence
reference_network,health,SITE-b865a6b07e70b1,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-bd472efcfc7d19,160196.0,1.0,6.242353117431147e-06,unit_presence
reference_network,health,SITE-bf0f36d7946727,19839.0,1.0,5.040576641967841e-05,unit_presence
reference_network,health,SITE-c2ef7b8180d1c4,113565.0,1.0,8.805529872760094e-06,unit_presence
reference_network,health,SITE-c4260ccc3cb551,1541429.0,1.0,6.487486611449506e-07,unit_presence
reference_network,health,SITE-c8e5eb2e24bb68,613593.0,1.0,1.6297447982620401e-06,unit_presence
reference_network,health,SITE-d25dfe77147b49,1222089.0,1.0,8.182710097218778e-07,unit_presence
reference_network,health,SITE-d4509d810fd04f,85131.0,1.0,1.1746602295286088e-05,unit_presence
reference_network,health,SITE-d529d91f329244,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-dd56ad7220a31c,443080.0,1.0,2.256928771327977e-06,unit_presence
reference_network,health,SITE-e089b6f5775522,182728.0,1.0,5.472615034368022e-06,unit_presence
reference_network,health,SITE-e0c2a641d9f9ab,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-e32df4265d50dd,1431419.0,1.0,6.986074657385433e-07,unit_presence
reference_network,health,SITE-e592d1cbf2b556,1366038.0,1.0,7.320440573395469e-07,unit_presence
reference_network,health,SITE-e654c99b346dfd,1282366.0,1.0,7.798085725916002e-07,unit_presence
reference_network,health,SITE-ee52be44357c7e,415237.0,1.0,2.4082632328043983e-06,unit_presence
reference_network,health,SITE-efe264aa06674f,436139.0,1.0,2.2928470051978843e-06,unit_presence
reference_network,health,SITE-f33d2ab21a56ac,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,health,SITE-f994cc726360e3,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,specialized_justice,SITE-297435db9d61e6,1405467.0,1.0,7.11507278363704e-07,unit_presence
reference_network,specialized_justice,SITE-5a748dd40b6d39,1498034.0,1.0,6.675415911788384e-07,unit_presence
reference_network,specialized_justice,SITE-a44c74ed1d0e16,366243.0,1.0,2.7304276122683573e-06,unit_presence
reference_network,specialized_justice,SITE-a865b3282c5d87,1405431.0,1.0,7.11525503564387e-07,unit_presence
reference_network,specialized_justice,SITE-b15c9e04c7f4d1,1622279.0,1.0,6.164167815770284e-07,unit_presence
reference_network,specialized_justice,SITE-e20b1733fea276,160196.0,1.0,6.242353117431147e-06,unit_presence
reference_network,specialized_security,SITE-077bef27f16e42,1284079.0,1.0,7.787682845058598e-07,unit_presence
reference_network,specialized_security,SITE-27c2bf085b0918,349417.0,1.0,2.8619099814834425e-06,unit_presence
reference_network,specialized_security,SITE-42685ccb15312f,42263.0,1.0,2.3661358635212835e-05,unit_presence
reference_network,specialized_security,SITE-474fd854f1e052,46311.0,1.0,2.1593142018095053e-05,unit_presence
reference_network,specialized_security,SITE-508f5d1d2f1555,54559.0,1.0,1.832878168588134e-05,unit_presence
reference_network,specialized_security,SITE-5a593f680b62ba,1414628.0,1.0,7.068996230811209e-07,unit_presence
reference_network,specialized_security,SITE-5b10a739a2e18c,236449.0,1.0,4.229241823818244e-06,unit_presence
reference_network,specialized_security,SITE-77660378432edd,1270305.0,1.0,7.872125198279154e-07,unit_presence
reference_network,specialized_security,SITE-8f79adaa64bf3a,114027.0,1.0,8.769852754172257e-06,unit_presence
