municipality_code,municipality_name,total_origins,routing_ready_origins,total_female_population,routing_ready_female_population,origin_coverage_fraction,female_population_coverage_fraction
1502152,Canaã dos Carajás,114,108,37682.0,36539.0,0.9473684210526315,0.9696672151159705
1502905,Curuçá,91,87,20507.0,19885.0,0.9560439560439561,0.9696688935485444
1507961,Terra Alta,24,23,5103.0,4958.0,0.9583333333333334,0.9715853419557123
1502202,Capanema,122,118,36039.0,35064.0,0.9672131147540983,0.9729459751935403
1505031,Novo Progresso,63,57,16140.0,15730.0,0.9047619047619048,0.9745972738537795
1506138,Redenção,170,162,43364.0,42397.0,0.9529411764705882,0.9777003966423762
1502400,Castanhal,351,340,99712.0,97495.0,0.9686609686609686,0.9777659659820283
1506609,Santa Maria do Pará,59,56,12477.0,12204.0,0.9491525423728814,0.9781197403221928
1507003,Santo Antônio do Tauá,59,55,13701.0,13411.0,0.9322033898305084,0.9788336617765127
1505502,Paragominas,211,198,53024.0,51977.0,0.9383886255924171,0.9802542245021123
1504109,Magalhães Barata,22,20,3960.0,3887.0,0.9090909090909091,0.9815656565656565
1505403,Ourém,49,47,8803.0,8650.0,0.9591836734693877,0.9826195615131206
1504307,Maracanã,83,81,12679.0,12462.0,0.9759036144578314,0.9828850855745721
1507904,Soure,37,32,12260.0,12072.0,0.8648648648648649,0.9846655791190865
1504059,Mãe do Rio,48,46,17466.0,17225.0,0.9583333333333334,0.986201763426085
1502939,Dom Eliseu,71,69,29577.0,29239.0,0.971830985915493,0.9885722013726882
1505536,Parauapebas,452,444,133902.0,132408.0,0.9823008849557522,0.9888425863691357
1506203,Salinópolis,75,73,22189.0,21950.0,0.9733333333333334,0.989228897201316
1505601,Peixe-Boi,23,22,4083.0,4059.0,0.9565217391304348,0.994121969140338
1502772,Curionópolis,49,49,9754.0,9754.0,1.0,1.0
1506112,Quatipuru,23,23,5675.0,5675.0,1.0,1.0
1507755,Sapucaia,11,11,2879.0,2879.0,1.0,1.0
