municipality_code,municipality_name,accessibility_coverage_status,promethee_positive_flow,promethee_negative_flow,promethee_net_flow,promethee_rank,mean_pairwise_comparable_weight_fraction,coverage_limited_rank_flag,robustness_mean_rank,robustness_sd_rank,robustness_best_rank,robustness_worst_rank,robustness_top10_probability,robustness_top_quartile_probability,top_10,top_quartile
1504703,Moju,routing_ready_reachable,0.0563331824340571,0.1480860213968282,-0.091752838962771,122,0.9968919968919968,False,109.5001,22.64961368301897,26,138,0.0,0.0025,False,False
1508407,Xinguara,routing_ready_reachable,0.0674530827624306,0.1603060857342449,-0.0928530029718143,123,0.9968919968919968,False,108.4234,28.939000197657133,20,141,0.0,0.0399,False,False
1502152,Canaã dos Carajás,routing_ready_reachable,0.0698875971015571,0.1659593874709456,-0.0960717903693884,124,0.9968919968919968,False,106.9517,27.75510344261031,20,136,0.0,0.0345,False,False
1507904,Soure,routing_ready_reachable,0.0851509876507526,0.1849233686074926,-0.09977238095674,125,0.9968919968919968,False,108.1145,30.44512095147592,22,144,0.0,0.0236,False,False
1500958,Aurora do Pará,routing_ready_reachable,0.047393634850394,0.1556935779704588,-0.1082999431200648,126,0.9968919968919968,False,117.2818,17.99822737827253,32,141,0.0,0.0003,False,False
1508100,Tucuruí,routing_ready_reachable,0.052073196019444,0.1746667441584277,-0.1225935481389837,127,0.9968919968919968,False,116.9285,19.44599155995912,38,140,0.0,0.0,False,False
1501709,Bragança,routing_ready_reachable,0.0360665716727895,0.1712254130994789,-0.1351588414266893,128,0.9968919968919968,False,122.8839,10.964498200556234,77,140,0.0,0.0,False,False
1505403,Ourém,routing_ready_reachable,0.0323452985097874,0.1704597894685463,-0.1381144909587588,129,0.9968919968919968,False,126.9966,9.398903576481636,81,142,0.0,0.0,False,False
1505502,Paragominas,routing_ready_reachable,0.0386430500100548,0.1796130325759429,-0.1409699825658881,130,0.9968919968919968,False,123.5539,13.133997669788156,53,141,0.0,0.0,False,False
1501600,Bonito,routing_ready_reachable,0.0338556083163759,0.1779567874494612,-0.1441011791330853,131,0.9968919968919968,False,128.3286,10.296320801140627,68,144,0.0,0.0,False,False
1500602,Altamira,routing_ready_reachable,0.072608362501678,0.2405327859938738,-0.1679244234921958,132,0.9968919968919968,False,119.1007,25.040326665401118,16,140,0.0,0.0024,False,False
1501808,Breves,routing_ready_reachable,0.0785150124180402,0.2476336702194633,-0.169118657801423,133,0.9968919968919968,False,119.4232,26.963558774019443,23,144,0.0,0.0076,False,False
1502202,Capanema,routing_ready_reachable,0.0272407180000625,0.1980964156147154,-0.1708556976146529,134,0.9968919968919968,False,130.7295,8.374445041314791,101,142,0.0,0.0,False,False
1506138,Redenção,routing_ready_reachable,0.0635545583595423,0.2629099715266047,-0.1993554131670623,135,0.9968919968919968,False,125.61,23.607348432214906,17,143,0.0,0.0162,False,False
1503606,Itaituba,routing_ready_reachable,0.0546168395950008,0.2675590899697265,-0.2129422503747257,136,0.9968919968919968,False,129.4967,19.829321448551863,39,144,0.0,0.0,False,False
1505536,Parauapebas,routing_ready_reachable,0.0472763411932216,0.2656925170609486,-0.218416175867727,137,0.9968919968919968,False,131.1388,17.24052593629312,28,143,0.0,0.0011,False,False
1504208,Marabá,routing_ready_reachable,0.0502380074170125,0.27952395597555,-0.2292859485585374,138,0.9968919968919968,False,130.6627,14.44791779842338,38,141,0.0,0.0,False,False
1500107,Abaetetuba,routing_ready_reachable,0.0196676389188954,0.2590992742325718,-0.2394316353136764,139,0.9968919968919968,False,136.4081,5.751326315729614,87,143,0.0,0.0,False,False
1501303,Barcarena,routing_ready_reachable,0.0147460034779141,0.2725176619087719,-0.2577716584308578,140,0.9968919968919968,False,139.207,3.2382635779070794,88,143,0.0,0.0,False,False
1506807,Santarém,routing_ready_reachable,0.0626744177345001,0.3500877321453453,-0.2874133144108451,141,0.9968919968919968,False,134.4442,16.611438419354297,40,143,0.0,0.0,False,False
1500800,Ananindeua,routing_ready_reachable,0.0224999410115392,0.3210366276689447,-0.2985366866574054,142,0.9968919968919968,False,138.2377,7.0432378001882325,107,144,0.0,0.0,False,False
1502400,Castanhal,routing_ready_reachable,0.0216553207241758,0.3249482123118378,-0.303292891587662,143,0.9968919968919968,False,138.8401,6.977788474151357,110,144,0.0,0.0,False,False
