origin_id,SITE-006e821a065971,SITE-0101ec991f50ad,SITE-03a74bcea046c9,SITE-040227533e04c2,SITE-04666f8b44bb19,SITE-077bef27f16e42,SITE-08ef9bb419f39f,SITE-097e969081cfef,SITE-0a2b2e0c082b9d,SITE-0aa0ade6735137,SITE-0ad15b4ef7d9c9,SITE-0bc277425d526d,SITE-11255cd7680d88,SITE-12d113cb5eb879,SITE-13d3c7226a80e2,SITE-1462ebd3576b1c,SITE-154bcbfa675517,SITE-15850132cc1049,SITE-170969c40c4e1e,SITE-198118f05c2209,SITE-1cea477713d69a,SITE-1d1d8df114a006,SITE-1d2833b582b2f7,SITE-1f44a6770e0f03,SITE-1faedaf402f505,SITE-220c7479426e1d,SITE-2510152617fff3,SITE-25d38c9841ea05,SITE-260d10dc753430,SITE-2651a6a3b32c13,SITE-266b07c1dcc19a,SITE-2764332cfdcaf1,SITE-27c2bf085b0918,SITE-297435db9d61e6,SITE-2ca7b9f7a0a9bd,SITE-2e6d01adca713b,SITE-2e8bebb63183fd,SITE-2f443fb6d4866c,SITE-313981b443f7cb,SITE-32cb4e6fb07aa3
150010705000033,177.5044487,,154.646494,,237.4694463,38.74820594,,109.2417895,,492.1890358,450.5662288,,,176.6955258,23.2892449,135.3592071,203.1454877,4.42502036,471.9914189,,562.8660083,,203.1437949,,,79.68275286,,,92.38093756,381.6268655,,232.9376292,341.0871156,97.92581045,,132.6661151,686.430516,232.4796347,410.2808531,
150010705000035,177.279115,,154.4211604,,237.2441127,38.44755807,,109.0164558,,491.9637022,450.3408952,,,176.4701922,23.06391128,135.1338735,202.9201541,4.199686744,471.7660853,,562.6406747,,202.9184613,,,79.45741924,,,92.15560395,381.4015319,,232.7122956,340.861782,97.70047683,,132.4407814,686.2051824,232.2543011,410.0555195,
150010705000037,177.4454242,,154.5874696,,237.4104218,38.61386721,,109.182765,,492.1300113,450.5072043,,,176.6365014,23.23022042,135.3001827,203.0864632,4.365995882,471.9323945,,562.8069838,,203.0847705,,,79.62372838,,,92.32191309,381.567841,,232.8786047,341.0280911,97.86678597,,132.6070906,686.3714915,232.4206102,410.2218286,
150010705000038,177.2921617,,154.4342071,,237.2571593,38.46060472,,109.0295025,,491.9767488,450.3539419,,,176.4832389,23.07695794,135.1469202,202.9332007,4.212733399,471.779132,,562.6537213,,202.931508,,,79.4704659,,,92.1686506,381.4145785,,232.7253423,340.8748286,97.71352349,,132.4538281,686.218229,232.2673477,410.0685662,
150010705000039,175.054461,,152.1965063,,235.0194586,36.17192677,,106.7918018,,489.7390481,448.1162411,,,174.2455381,20.83925719,132.9092194,200.6955,1.975032655,469.5414312,,560.4160206,,200.6938072,,,77.23276515,,,89.93094986,379.1768778,,230.4876415,338.6371279,95.47582274,,130.2161274,683.9805283,230.029647,407.8308654,
150010705000040,175.3818009,,152.5238463,,235.3467985,36.62555816,,107.1191417,,490.066388,448.443581,,,174.5728781,21.16659712,133.2365594,201.0228399,2.302372584,469.8687712,,560.7433605,,201.0211472,,,77.56010508,,,90.25828979,379.5042177,,230.8149814,338.9644678,95.80316267,,130.5434673,684.3078682,230.3569869,408.1582053,
150010705000045,175.7147238,,152.8567692,,235.6797214,35.68468436,,107.4520646,,490.3993109,448.7765039,,,174.905801,21.49952002,133.5694823,201.3557628,2.052046792,470.201694,,561.0762834,,201.3540701,,,77.89302798,,,90.59121268,379.8371406,,231.1479043,339.2973907,96.13608557,,130.8763902,684.6407911,230.6899098,408.4911282,
150010705000046,174.750489,,151.8925344,,234.7154866,34.72044961,,106.4878298,,489.4350762,447.8122692,,,173.9415662,20.53528527,132.6052475,200.391528,1.087812046,469.2374593,,560.1120487,,200.3898353,,,76.92879323,,,89.62697794,378.8729059,,230.1836696,338.333156,95.17185082,,129.9121554,683.6765564,229.725675,407.5268935,
150010705000059,175.8644949,,153.0065403,,235.8294925,37.39556343,,107.6018357,,490.549082,448.926275,,,175.0555721,21.64929113,133.7192534,201.5055339,3.072377847,470.3514652,,561.2260545,,201.5038412,,,78.04279909,,,90.74098379,379.9869117,,231.2976754,339.4471618,96.28585668,,131.0261613,684.7905622,230.8396809,408.6408993,
150010705000062,175.2362617,,152.378307,,235.2012593,44.36021189,,90.57406879,,486.38684,444.764033,,,174.4273388,17.48704911,116.6914865,200.8773007,16.92367315,466.1892231,,557.0638125,,200.8756079,,,77.41456586,,,90.11275056,375.8246697,,230.6694422,335.2849198,95.65762345,,130.3979281,680.6283202,230.2114477,404.4786573,
150010705000088,176.2860546,,153.4281,,236.2510522,37.52981189,,108.0233954,,490.9706417,449.3478348,,,175.4771318,22.07085085,134.1408131,201.9270936,3.206626313,470.7730249,,561.6476142,,201.9254009,,,78.46435881,,,91.16254352,380.4084715,,231.7192352,339.8687215,96.7074164,,131.447721,685.2121219,231.2612406,409.0624591,
150010705000089,177.0870341,,154.2290795,,237.0520317,38.33079141,,108.8243749,,491.7716213,450.1488143,,,176.2781113,22.87183037,134.9417926,202.7280731,4.007605828,471.5740044,,562.4485938,,202.7263804,,,79.26533833,,,91.96352303,381.209451,,232.5202147,340.669701,97.50839592,,132.2487005,686.0131015,232.0622201,409.8634386,
150010705000090,176.2817522,,153.4237976,,236.2467498,37.52550951,,108.019093,,490.9663394,449.3435324,,,175.4728294,22.06654847,134.1365107,201.9227912,3.202323933,470.7687225,,561.6433119,,201.9210985,,,78.46005643,,,91.15824114,380.4041691,,231.7149328,339.8644192,96.70311402,,131.4434186,685.2078196,231.2569382,409.0581567,
