service_id,service_name,service_type,provider_source,municipality_code,municipality_name,address_public,latitude,longitude,capacity,capacity_type,capacity_source,reference_date,validation_status,redistribution_status,functional_records,service_ids,service_names
CNES-2616211,HOSPITAL MUNICIPAL MARIA MAURA RODRIGUES DE JESUS,health,CNES,150548.0,,"AV MARECHAL CASTELO BRANCO, S/N",-3.839816018219655,-50.6378960609436,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2616211,HOSPITAL MUNICIPAL MARIA MAURA RODRIGUES DE JESUS
CNES-2616394,USF BERNARDO DE OLIVEIRA PANTOJA,health,CNES,150095.0,,"VILA DE SANTANA DO CAPIM, S/N",-2.037512831671473,-47.750937938690186,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2616394,USF BERNARDO DE OLIVEIRA PANTOJA
CNES-2620065,UNIDADE BASICA DE SAUDE KM 28,health,CNES,150360.0,,"ROD TRANSAMAZONICA, S/N",-4.353215160333173,-56.17116451263428,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2620065,UNIDADE BASICA DE SAUDE KM 28
CNES-2620073,UNIDADE DE SAUDE DA FAMILIA JARDIM DAS ARARAS,health,CNES,150360.0,,"RUA ANTONIO GOMES DE PADUA, S/N",-4.264813388296912,-55.97893863916397,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2620073,UNIDADE DE SAUDE DA FAMILIA JARDIM DAS ARARAS
CNES-2620081,UNIDADE DE SAUDE DA FAMILIA PIRACANA,health,CNES,150360.0,,"RUA NICOLAU VARJAO, S/N",-4.250406877771967,-55.99135458469391,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2620081,UNIDADE DE SAUDE DA FAMILIA PIRACANA
CNES-2678594,USF LUIZ VIDAL DE CARVALHO,health,CNES,150095.0,,"RUA SAO PEDRO, S/N",-2.136645832141356,-47.55500793457031,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2678594,USF LUIZ VIDAL DE CARVALHO
CNES-2694778,HPSM DR HUMBERTO MARADEI PEREIRA,health,CNES,150140.0,,"PASSAGEM SAO MIGUEL, 100",-1.475456466228528,-48.491446640430205,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2694778,HPSM DR HUMBERTO MARADEI PEREIRA
CNES-2711184,HOSPITAL MUNICIPAL ANA NERY,health,CNES,150590.0,,"RUA DA REPUBLICA, 1780",-1.754667,-52.238222,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2711184,HOSPITAL MUNICIPAL ANA NERY
CNES-2752700,SANTA CASA DE MISERICORDIA DO PARA,health,CNES,150140.0,,"RUA OLIVEIRA BELO, 395",-1.44089898734057,-48.4808266512803,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2752700,SANTA CASA DE MISERICORDIA DO PARA
CNES-2793830,USF DE SANTO ANTONIO DO CUMARU,health,CNES,150160.0,,"VILA SANTO ANTONIO DO CUMARU, S/N",-1.4010248929536324,-47.3331356048584,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2793830,USF DE SANTO ANTONIO DO CUMARU
CNES-2793849,USF BOCA DE OUREM,health,CNES,150160.0,,"VILA ESPERANCA, S/N",-1.311764546554237,-47.21953868865967,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2793849,USF BOCA DE OUREM
CNES-2793911,USF CLODOALDO BASILIO I,health,CNES,150160.0,,"SEGUNDA TRAVESSA, S/N",-1.367707,-47.30612,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2793911,USF CLODOALDO BASILIO I
CNES-2927187,CTA SAE CENTRO DE TESTAGEM E ACONSELHAMENTO DE MOJU,health,CNES,150470.0,,"RUA 31 DE MARCO, 140",-1.8845154543235727,-48.766542971134186,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2927187,CTA SAE CENTRO DE TESTAGEM E ACONSELHAMENTO DE MOJU
CNES-3002845,CENTRO DE REFERENCIA DE SAUDE DA MULHER,health,CNES,150360.0,,"AV GETULIO VARGAS, S/N",-4.275581984920774,-55.98303437232971,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-3002845,CENTRO DE REFERENCIA DE SAUDE DA MULHER
CNES-3097730,CENTRO DE TESTAGEM E ACONSELHAMENTO,health,CNES,150010.0,,"AV 15 DE AGOSTO, S/N",-1.7222498529417858,-48.889141380786896,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-3097730,CENTRO DE TESTAGEM E ACONSELHAMENTO
CNES-4005732,HOSPITAL MUNICIPAL SAO JOAQUIM,health,CNES,150120.0,,"RUA LEVINDO ROCHA, S/N",-2.8028616,-49.6683285,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-4005732,HOSPITAL MUNICIPAL SAO JOAQUIM
CNES-4190203,HOSPITAL REGIONAL DA PA 279,health,CNES,150543.0,,"RUA CAITETE, S/N",-6.74942463148501,-51.07062220573425,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-4190203,HOSPITAL REGIONAL DA PA 279
CNES-5274990,HOSPITAL PUBLICO DA MULHER SENHORA DE NAZARE,health,CNES,150140.0,,"AVENIDA GENTIL BITENCOURT, 2175",-1.459845,-48.487825,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-5274990,HOSPITAL PUBLICO DA MULHER SENHORA DE NAZARE
