municipality_code,municipality_name,som_profile,promethee_rank,promethee_net_flow,top_10,top_quartile,robustness_top_quartile_probability,e2sfca_score__creas,e2sfca_score__health,e2sfca_score__specialized_justice,e2sfca_score__specialized_security,e2sfca_percentile__creas,e2sfca_percentile__health,e2sfca_percentile__specialized_justice,e2sfca_percentile__specialized_security,e2sfca_services_observed,e2sfca_complete_service_coverage,e2sfca_mean_within_service_percentile_complete_only,integrated_descriptive_pattern,promethee_top_quartile_and_lower_e2sfca
1502608,Colares,2,11,0.1349953295632244,False,True,0.6828,1.4223462115627292e-05,3.515224498511017e-06,2.7069911546839583e-06,2.6771954058893373e-06,0.04895104895104895,0.2727272727272727,0.9265734265734266,0.35664335664335667,4,True,0.40122377622377625,Intermediate E2SFCA accessibility,False
1502764,Cumaru do Norte,3,12,0.1164656660165274,False,True,0.739,2.567990635593142e-05,8.096863019119469e-06,0.0,6.5842440731413856e-06,0.18181818181818182,0.43356643356643354,0.24125874125874125,0.7552447552447552,4,True,0.40297202797202797,Intermediate E2SFCA accessibility,False
1501006,Aveiro,4,13,0.115383841213345,False,True,0.8748,0.0002234028037056,0.0001108155615551,0.0,2.550587054635275e-06,0.993006993006993,0.986013986013986,0.24125874125874125,0.3356643356643357,4,True,0.6389860139860141,Higher E2SFCA accessibility quartile,False
1500131,Abel Figueiredo,1,14,0.1144194981219159,False,True,0.5827,4.199729160657377e-05,4.22904508162057e-06,2.7304276122683573e-06,2.861909981483442e-06,0.48951048951048953,0.32167832167832167,0.9475524475524476,0.38461538461538464,4,True,0.5358391608391608,Intermediate E2SFCA accessibility,False
1500305,Afuá,4,15,0.1108611480157066,False,True,0.805,,,,,,,,,0,False,,E2SFCA coverage incomplete,False
1503408,Inhangapi,3,16,0.1106825449812666,False,True,0.5629,4.130854061427952e-05,1.987177841319738e-05,2.706991154683958e-06,4.012623166883814e-06,0.4755244755244755,0.7272727272727273,0.8951048951048951,0.5384615384615384,4,True,0.6590909090909091,Higher E2SFCA accessibility quartile,False
1504000,Limoeiro do Ajuru,4,17,0.1048824948316475,False,True,0.7181,4.678576244962855e-05,0.0,0.0,2.1972035089632425e-05,0.5804195804195804,0.1048951048951049,0.24125874125874125,0.986013986013986,4,True,0.4781468531468531,Intermediate E2SFCA accessibility,False
1503754,Jacareacanga,4,18,0.1033477298449179,False,True,0.9592,0.000181983621474,0.0,0.0,0.0,0.9790209790209791,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.35664335664335667,Lower E2SFCA accessibility quartile,True
1504752,Mojuí dos Campos,2,19,0.0970757850795652,False,True,0.8786,1.8236802698116983e-05,3.0553437057129336e-05,6.084206202523647e-06,6.084206202523647e-06,0.07692307692307693,0.8881118881118881,0.993006993006993,0.7132867132867133,4,True,0.6678321678321678,Higher E2SFCA accessibility quartile,False
1506005,Prainha,4,20,0.0954663631460132,False,True,0.8168,2.8794886093811683e-05,3.30447976771496e-07,1.65223988385748e-07,1.65223988385748e-07,0.24475524475524477,0.22377622377622378,0.5314685314685315,0.21678321678321677,4,True,0.30419580419580416,Lower E2SFCA accessibility quartile,True
1505031,Novo Progresso,1,21,0.0947172866364539,False,True,0.678,4.109552133846578e-05,0.0,0.0,0.0,0.46853146853146854,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.229020979020979,Lower E2SFCA accessibility quartile,True
1507961,Terra Alta,2,22,0.0934273457971076,False,True,0.4634,3.324928272947222e-05,1.005039312988967e-05,2.706991154683958e-06,3.4644079257172528e-06,0.35664335664335667,0.5034965034965035,0.8951048951048951,0.4755244755244755,4,True,0.5576923076923077,Intermediate E2SFCA accessibility,False
1502509,Chaves,4,23,0.0924502716813248,False,True,0.6926,0.0004315925766076,0.0,0.0,0.0,1.0,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.36188811188811193,Lower E2SFCA accessibility quartile,True
1504455,Medicilândia,3,24,0.0858163760354935,False,True,0.7321,7.443636515187524e-05,3.772865839137005e-05,0.0,1.3476544075037398e-05,0.8671328671328671,0.9090909090909091,0.24125874125874125,0.9335664335664335,4,True,0.7377622377622377,Higher E2SFCA accessibility quartile,False
1505650,Placas,3,25,0.0839710477065152,False,True,0.7381,6.910717713877748e-05,7.003579995018403e-05,2.6302049652097528e-08,2.6302049652097528e-08,0.8461538461538461,0.958041958041958,0.4965034965034965,0.2097902097902098,4,True,0.6276223776223777,Higher E2SFCA accessibility quartile,False
1501451,Belterra,2,26,0.0831903437426402,False,True,0.7139,2.248552968789985e-05,4.41333900025682e-05,6.242353117431147e-06,6.242353117431147e-06,0.15384615384615385,0.9370629370629371,1.0,0.7272727272727273,4,True,0.7045454545454546,Higher E2SFCA accessibility quartile,False
